Row ID,Order ID,Order Date,Shipped Date,City,Country,Category,Sub-Category,Product ID,Product Name,Customer ID,Customer Name,Segment,Sales,Quantity,Discount,Profit,Region,State
15,US-2015-118983,16-11-2017,16-11-2017,Fort Worth,United States,Office Supplies,Appliances,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",HP-14815,Harold Pawlan,Home Office,68.81,5,0.8,-123.858,Central,Texas
16,US-2015-118983,01-11-2015,05-11-2015,Fort Worth,United States,Office Supplies,Binders,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,HP-14815,Harold Pawlan,Home Office,2.544,3,0.8,-3.816,Central,Texas
17,CA-2014-105893,23-08-2014,23-08-2014,Madison,United States,Office Supplies,Storage,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",PK-19075,Pete Kriz,Consumer,665.88,6,0,13.3176,Central,Wisconsin
18,CA-2014-167164,23-08-2014,23-08-2014,West Jordan,United States,Office Supplies,Storage,OFF-ST-10000107,Fellowes Super Stor/Drawer,AG-10270,Alejandro Grove,Consumer,55.5,2,0,9.99,West,Utah
19,CA-2014-143336,06-12-2015,10-12-2015,San Francisco,United States,Office Supplies,Art,OFF-AR-10003056,Newell 341,ZD-21925,Zuschuss Donatelli,Consumer,8.56,2,0,2.4824,West,California
20,CA-2014-143336,06-12-2015,10-12-2015,San Francisco,United States,Technology,Phones,TEC-PH-10001949,Cisco SPA 501G IP Phone,ZD-21925,Zuschuss Donatelli,Consumer,213.48,3,0.2,16.011,West,California
21,CA-2014-143336,09-10-2015,13-10-2015,San Francisco,United States,Office Supplies,Binders,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",ZD-21925,Zuschuss Donatelli,Consumer,22.72,4,0.2,7.384,West,California
22,CA-2016-137330,04-06-2016,04-06-2016,Fremont,United States,Office Supplies,Art,OFF-AR-10000246,Newell 318,KB-16585,Ken Black,Corporate,19.46,7,0,5.0596,Central,Nebraska
23,CA-2016-137330,12-06-2017,18-06-2017,Fremont,United States,Office Supplies,Appliances,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",KB-16585,Ken Black,Corporate,60.34,7,0,15.6884,Central,Nebraska
24,US-2017-156909,08-11-2015,13-11-2015,Philadelphia,United States,Furniture,Chairs,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",SF-20065,Sandra Flanagan,Consumer,71.372,2,0.3,-1.0196,East,Pennsylvania
25,CA-2015-106320,23-03-2017,29-03-2017,Orem,United States,Furniture,Tables,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,EB-13870,Emily Burns,Consumer,1044.63,3,0,240.2649,West,Utah
26,CA-2016-121755,02-10-2017,06-10-2017,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10001634,Wilson Jones Active Use Binders,EH-13945,Eric Hoffmann,Consumer,11.648,2,0.2,4.2224,West,California
27,CA-2016-121755,10-09-2017,10-09-2017,Los Angeles,United States,Technology,Accessories,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,EH-13945,Eric Hoffmann,Consumer,90.57,3,0,11.7741,West,California
28,US-2015-150630,11-03-2014,14-03-2014,Philadelphia,United States,Furniture,Bookcases,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",TB-21520,Tracy Blumstein,Consumer,3083.43,7,0.5,-1665.0522,East,Pennsylvania
29,US-2015-150630,06-03-2017,11-03-2017,Philadelphia,United States,Office Supplies,Binders,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,TB-21520,Tracy Blumstein,Consumer,9.618,2,0.7,-7.0532,East,Pennsylvania
30,US-2015-150630,15-01-2016,21-01-2016,Philadelphia,United States,Furniture,Furnishings,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",TB-21520,Tracy Blumstein,Consumer,124.2,3,0.2,15.525,East,Pennsylvania
31,US-2015-150630,16-02-2017,20-02-2017,Philadelphia,United States,Office Supplies,Envelopes,OFF-EN-10001509,Poly String Tie Envelopes,TB-21520,Tracy Blumstein,Consumer,3.264,2,0.2,1.1016,East,Pennsylvania
32,US-2015-150630,09-10-2017,14-10-2017,Philadelphia,United States,Office Supplies,Art,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",TB-21520,Tracy Blumstein,Consumer,86.304,6,0.2,9.7092,East,Pennsylvania
33,US-2015-150630,29-03-2016,02-04-2016,Philadelphia,United States,Office Supplies,Binders,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",TB-21520,Tracy Blumstein,Consumer,6.858,6,0.7,-5.715,East,Pennsylvania
34,US-2015-150630,01-04-2017,07-04-2017,Philadelphia,United States,Office Supplies,Art,OFF-AR-10001683,Lumber Crayons,TB-21520,Tracy Blumstein,Consumer,15.76,2,0.2,3.546,East,Pennsylvania
35,CA-2017-107727,20-11-2017,22-11-2017,Houston,United States,Office Supplies,Paper,OFF-PA-10000249,Easy-staple paper,MA-17560,Matt Abelman,Home Office,29.472,3,0.2,9.9468,Central,Texas
36,CA-2016-117590,21-06-2014,24-06-2014,Richardson,United States,Technology,Phones,TEC-PH-10004977,GE 30524EE4,GH-14485,Gene Hale,Corporate,1097.544,7,0.2,123.4737,Central,Texas
37,CA-2016-117590,24-11-2017,01-12-2017,Richardson,United States,Furniture,Furnishings,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",GH-14485,Gene Hale,Corporate,190.92,5,0.6,-147.963,Central,Texas
38,CA-2015-117415,24-03-2014,28-03-2014,Houston,United States,Office Supplies,Envelopes,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",SN-20710,Steve Nguyen,Home Office,113.328,9,0.2,35.415,Central,Texas
39,CA-2015-117415,29-06-2015,04-07-2015,Houston,United States,Furniture,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",SN-20710,Steve Nguyen,Home Office,532.3992,3,0.32,-46.9764,Central,Texas
40,CA-2015-117415,02-09-2014,03-09-2014,Houston,United States,Furniture,Chairs,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",SN-20710,Steve Nguyen,Home Office,212.058,3,0.3,-15.147,Central,Texas
41,CA-2015-117415,14-09-2014,14-09-2014,Houston,United States,Technology,Phones,TEC-PH-10000486,Plantronics HL10 Handset Lifter,SN-20710,Steve Nguyen,Home Office,371.168,4,0.2,41.7564,Central,Texas
42,CA-2017-120999,15-07-2017,18-07-2017,Naperville,United States,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,LC-16930,Linda Cazamias,Corporate,147.168,4,0.2,16.5564,Central,Illinois
43,CA-2016-101343,08-05-2015,15-05-2015,Los Angeles,United States,Office Supplies,Storage,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",RA-19885,Ruben Ausman,Corporate,77.88,2,0,3.894,West,California
44,CA-2017-139619,29-09-2014,03-10-2014,Melbourne,United States,Office Supplies,Storage,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",ES-14080,Erin Smith,Corporate,95.616,2,0.2,9.5616,South,Florida
45,CA-2016-118255,05-09-2016,11-09-2016,Eagan,United States,Technology,Accessories,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",ON-18715,Odella Nelson,Corporate,45.98,2,0,19.7714,Central,Minnesota
46,CA-2016-118255,17-09-2015,23-09-2015,Eagan,United States,Office Supplies,Binders,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,ON-18715,Odella Nelson,Corporate,17.46,2,0,8.2062,Central,Minnesota
47,CA-2014-146703,21-11-2016,28-11-2016,Westland,United States,Office Supplies,Storage,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",PO-18865,Patrick O'Donnell,Consumer,211.96,4,0,8.4784,Central,Michigan
48,CA-2016-169194,20-09-2017,26-09-2017,Dover,United States,Technology,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,LH-16900,Lena Hernandez,Consumer,45,3,0,4.95,East,Delaware
49,CA-2016-169194,20-09-2017,26-09-2017,Dover,United States,Technology,Phones,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",LH-16900,Lena Hernandez,Consumer,21.8,2,0,6.104,East,Delaware
50,CA-2015-115742,05-05-2017,05-05-2017,New Albany,United States,Office Supplies,Binders,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",DP-13000,Darren Powers,Consumer,38.22,6,0,17.9634,Central,Indiana
51,CA-2015-115742,11-07-2014,15-07-2014,New Albany,United States,Office Supplies,Labels,OFF-LA-10002762,Avery 485,DP-13000,Darren Powers,Consumer,75.18,6,0,35.3346,Central,Indiana
52,CA-2015-115742,14-12-2016,19-12-2016,New Albany,United States,Furniture,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,DP-13000,Darren Powers,Consumer,6.16,2,0,2.9568,Central,Indiana
53,CA-2015-115742,19-09-2017,24-09-2017,New Albany,United States,Furniture,Chairs,FUR-CH-10003061,"Global Leather Task Chair, Black",DP-13000,Darren Powers,Consumer,89.99,1,0,17.0981,Central,Indiana
54,CA-2016-105816,02-12-2016,07-12-2016,New York City,United States,Office Supplies,Fasteners,OFF-FA-10000304,Advantus Push Pins,JM-15265,Janet Molinari,Corporate,15.26,7,0,6.2566,East,New York
55,CA-2016-105816,11-12-2017,15-12-2017,New York City,United States,Technology,Phones,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,JM-15265,Janet Molinari,Corporate,1029.95,5,0,298.6855,East,New York
56,CA-2016-111682,29-03-2015,04-04-2015,Troy,United States,Office Supplies,Storage,OFF-ST-10000604,Home/Office Personal File Carts,TB-21055,Ted Butterfield,Consumer,208.56,6,0,52.14,East,New York
57,CA-2016-111682,30-11-2015,04-12-2015,Troy,United States,Office Supplies,Paper,OFF-PA-10001569,Xerox 232,TB-21055,Ted Butterfield,Consumer,32.4,5,0,15.552,East,New York
58,CA-2016-111682,06-11-2017,10-11-2017,Troy,United States,Furniture,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,TB-21055,Ted Butterfield,Consumer,319.41,5,0.1,7.098,East,New York
59,CA-2016-111682,26-12-2015,30-12-2015,Troy,United States,Office Supplies,Paper,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",TB-21055,Ted Butterfield,Consumer,14.56,2,0,6.9888,East,New York
60,CA-2016-111682,08-03-2016,12-03-2016,Troy,United States,Technology,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TB-21055,Ted Butterfield,Consumer,30,2,0,3.3,East,New York
61,CA-2016-111682,15-09-2014,20-09-2014,Troy,United States,Office Supplies,Binders,OFF-BI-10001460,Plastic Binding Combs,TB-21055,Ted Butterfield,Consumer,48.48,4,0.2,16.362,East,New York
62,CA-2016-111682,17-11-2017,21-11-2017,Troy,United States,Office Supplies,Art,OFF-AR-10001868,Prang Dustless Chalk Sticks,TB-21055,Ted Butterfield,Consumer,1.68,1,0,0.84,East,New York
63,CA-2015-135545,05-12-2015,09-12-2015,Los Angeles,United States,Technology,Accessories,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",KM-16720,Kunst Miller,Consumer,13.98,2,0,6.1512,West,California
64,CA-2015-135545,20-10-2015,22-10-2015,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",KM-16720,Kunst Miller,Consumer,25.824,6,0.2,9.3612,West,California
65,CA-2015-135545,08-10-2014,13-10-2014,Los Angeles,United States,Office Supplies,Paper,OFF-PA-10003892,Xerox 1943,KM-16720,Kunst Miller,Consumer,146.73,3,0,68.9631,West,California
66,CA-2015-135545,07-04-2015,10-04-2015,Los Angeles,United States,Furniture,Furnishings,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,KM-16720,Kunst Miller,Consumer,79.76,4,0,22.3328,West,California
67,US-2015-164175,25-05-2014,29-05-2014,Chicago,United States,Furniture,Chairs,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",PS-18970,Paul Stevenson,Home Office,213.115,5,0.3,-15.2225,Central,Illinois
68,CA-2014-106376,05-11-2017,10-11-2017,Gilbert,United States,Office Supplies,Art,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",BS-11590,Brendan Sweed,Corporate,1113.024,8,0.2,111.3024,West,Arizona
69,CA-2014-106376,05-11-2017,10-11-2017,Gilbert,United States,Technology,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,BS-11590,Brendan Sweed,Corporate,167.968,4,0.2,62.988,West,Arizona
70,CA-2016-119823,14-09-2017,19-09-2017,Springfield,United States,Office Supplies,Paper,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",KD-16270,Karen Daniels,Consumer,75.88,2,0,35.6636,South,Virginia
71,CA-2016-106075,14-09-2017,19-09-2017,New York City,United States,Office Supplies,Binders,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,HM-14980,Henry MacAllister,Consumer,4.616,1,0.2,1.731,East,New York
72,CA-2017-114440,05-12-2017,08-12-2017,Jackson,United States,Office Supplies,Paper,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",TB-21520,Tracy Blumstein,Consumer,19.05,3,0,8.763,Central,Michigan
73,US-2015-134026,12-10-2017,15-10-2017,Memphis,United States,Furniture,Chairs,FUR-CH-10000513,High-Back Leather Manager's Chair,JE-15745,Joel Eaton,Consumer,831.936,8,0.2,-114.3912,South,Tennessee
74,US-2015-134026,12-10-2015,14-10-2015,Memphis,United States,Furniture,Furnishings,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",JE-15745,Joel Eaton,Consumer,97.04,2,0.2,1.213,South,Tennessee
75,US-2015-134026,01-09-2016,03-09-2016,Memphis,United States,Office Supplies,Storage,OFF-ST-10004123,Safco Industrial Wire Shelving System,JE-15745,Joel Eaton,Consumer,72.784,1,0.2,-18.196,South,Tennessee
76,US-2017-118038,01-09-2016,03-09-2016,Houston,United States,Office Supplies,Binders,OFF-BI-10004182,Economy Binders,KB-16600,Ken Brennan,Corporate,1.248,3,0.8,-1.9344,Central,Texas
77,US-2017-118038,19-11-2017,22-11-2017,Houston,United States,Furniture,Furnishings,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",KB-16600,Ken Brennan,Corporate,9.708,3,0.6,-5.8248,Central,Texas
78,US-2017-118038,23-10-2016,29-10-2016,Houston,United States,Office Supplies,Storage,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",KB-16600,Ken Brennan,Corporate,27.24,3,0.2,2.724,Central,Texas
79,US-2014-147606,19-06-2017,23-06-2017,Houston,United States,Furniture,Furnishings,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",JE-15745,Joel Eaton,Consumer,19.3,5,0.6,-14.475,Central,Texas
80,CA-2016-127208,05-04-2014,07-04-2014,Decatur,United States,Office Supplies,Appliances,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",SC-20770,Stewart Carmichael,Corporate,208.16,1,0,56.2032,South,Alabama
81,CA-2016-127208,09-04-2017,11-04-2017,Decatur,United States,Office Supplies,Binders,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,SC-20770,Stewart Carmichael,Corporate,16.74,3,0,8.0352,South,Alabama
82,CA-2014-139451,09-04-2017,11-04-2017,San Francisco,United States,Office Supplies,Art,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",DN-13690,Duane Noonan,Consumer,14.9,5,0,4.172,West,California
83,CA-2014-139451,24-11-2017,28-11-2017,San Francisco,United States,Office Supplies,Storage,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",DN-13690,Duane Noonan,Consumer,21.39,1,0,6.2031,West,California
84,CA-2015-149734,10-09-2016,14-09-2016,Durham,United States,Office Supplies,Envelopes,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,JC-16105,Julie Creighton,Corporate,200.984,7,0.2,62.8075,South,North Carolina
85,US-2017-119662,02-09-2017,06-09-2017,Chicago,United States,Office Supplies,Storage,OFF-ST-10003656,Safco Industrial Wire Shelving,CS-12400,Christopher Schild,Home Office,230.376,3,0.2,-48.9549,Central,Illinois
86,CA-2017-140088,24-03-2017,28-03-2017,Columbia,United States,Furniture,Chairs,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,PO-18865,Patrick O'Donnell,Consumer,301.96,2,0,33.2156,South,South Carolina
87,CA-2017-155558,15-09-2015,19-09-2015,Rochester,United States,Technology,Accessories,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,PG-18895,Paul Gonzalez,Consumer,19.99,1,0,6.7966,Central,Minnesota
88,CA-2017-155558,17-03-2014,21-03-2014,Rochester,United States,Office Supplies,Labels,OFF-LA-10000134,Avery 511,PG-18895,Paul Gonzalez,Consumer,6.16,2,0,2.9568,Central,Minnesota
89,CA-2016-159695,17-03-2014,21-03-2014,Houston,United States,Office Supplies,Storage,OFF-ST-10003442,Eldon Portable Mobile Manager,GM-14455,Gary Mitchum,Home Office,158.368,7,0.2,13.8572,Central,Texas
90,CA-2016-109806,14-11-2015,19-11-2015,Los Angeles,United States,Office Supplies,Art,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,JS-15685,Jim Sink,Corporate,20.1,3,0,6.633,West,California
91,CA-2016-109806,07-06-2016,10-06-2016,Los Angeles,United States,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,JS-15685,Jim Sink,Corporate,73.584,2,0.2,8.2782,West,California
92,CA-2016-109806,04-06-2015,08-06-2015,Los Angeles,United States,Office Supplies,Paper,OFF-PA-10000304,Xerox 1995,JS-15685,Jim Sink,Corporate,6.48,1,0,3.1104,West,California
93,CA-2015-149587,06-08-2016,07-08-2016,Minneapolis,United States,Office Supplies,Paper,OFF-PA-10003177,Xerox 1999,KB-16315,Karl Braun,Consumer,12.96,2,0,6.2208,Central,Minnesota
94,CA-2015-149587,18-09-2017,25-09-2017,Minneapolis,United States,Furniture,Furnishings,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",KB-16315,Karl Braun,Consumer,53.34,3,0,16.5354,Central,Minnesota
95,CA-2015-149587,16-07-2015,19-07-2015,Minneapolis,United States,Office Supplies,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,KB-16315,Karl Braun,Consumer,32.96,2,0,16.1504,Central,Minnesota
96,US-2017-109484,06-10-2017,12-10-2017,Portland,United States,Office Supplies,Binders,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,RB-19705,Roger Barcio,Home Office,5.682,1,0.7,-3.788,West,Oregon
97,CA-2017-161018,10-12-2015,10-12-2015,New York City,United States,Furniture,Furnishings,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,PN-18775,Parhena Norris,Home Office,96.53,7,0,40.5426,East,New York
98,CA-2017-157833,10-12-2015,10-12-2015,San Francisco,United States,Office Supplies,Binders,OFF-BI-10001721,Trimflex Flexible Post Binders,KD-16345,Katherine Ducich,Consumer,51.312,3,0.2,17.9592,West,California
99,CA-2016-149223,14-11-2014,18-11-2014,Saint Paul,United States,Office Supplies,Appliances,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,ER-13855,Elpida Rittenbach,Corporate,77.88,6,0,22.5852,Central,Minnesota
100,CA-2016-158568,27-07-2014,02-08-2014,Chicago,United States,Office Supplies,Paper,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,RB-19465,Rick Bensley,Home Office,64.624,7,0.2,22.6184,Central,Illinois
101,CA-2016-158568,08-05-2015,10-05-2015,Chicago,United States,Technology,Accessories,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,RB-19465,Rick Bensley,Home Office,95.976,3,0.2,-10.7973,Central,Illinois
102,CA-2016-158568,06-10-2017,11-10-2017,Chicago,United States,Office Supplies,Binders,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,RB-19465,Rick Bensley,Home Office,1.788,3,0.8,-3.0396,Central,Illinois
103,CA-2016-129903,02-07-2015,03-07-2015,Rochester,United States,Office Supplies,Paper,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),GZ-14470,Gary Zandusky,Consumer,23.92,4,0,11.7208,Central,Minnesota
104,US-2015-156867,03-09-2017,06-09-2017,Aurora,United States,Technology,Accessories,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,LC-16870,Lena Cacioppo,Consumer,238.896,6,0.2,-26.8758,West,Colorado
105,US-2015-156867,15-01-2016,17-01-2016,Aurora,United States,Furniture,Furnishings,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",LC-16870,Lena Cacioppo,Consumer,102.36,3,0.2,-3.8385,West,Colorado
106,US-2015-156867,02-03-2014,08-03-2014,Aurora,United States,Office Supplies,Binders,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",LC-16870,Lena Cacioppo,Consumer,36.882,3,0.7,-25.8174,West,Colorado
107,CA-2017-119004,13-10-2016,20-10-2016,Charlotte,United States,Technology,Accessories,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,JM-15250,Janet Martin,Consumer,74.112,8,0.2,17.6016,South,North Carolina
108,CA-2017-119004,03-06-2017,09-06-2017,Charlotte,United States,Technology,Phones,TEC-PH-10002844,Speck Products Candyshell Flip Case,JM-15250,Janet Martin,Consumer,27.992,1,0.2,2.0994,South,North Carolina
109,CA-2017-119004,20-12-2017,26-12-2017,Charlotte,United States,Office Supplies,Art,OFF-AR-10000390,Newell Chalk Holder,JM-15250,Janet Martin,Consumer,3.304,1,0.2,1.0738,South,North Carolina
110,CA-2015-129476,20-12-2017,26-12-2017,Orland Park,United States,Technology,Accessories,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,PA-19060,Pete Armstrong,Home Office,339.96,5,0.2,67.992,Central,Illinois
111,CA-2017-146780,26-06-2017,30-06-2017,New York City,United States,Furniture,Furnishings,FUR-FU-10001934,Magnifier Swing Arm Lamp,CV-12805,Cynthia Voltz,Corporate,41.96,2,0,10.9096,East,New York
112,CA-2016-128867,07-11-2014,08-11-2014,Urbandale,United States,Office Supplies,Art,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",CL-12565,Clay Ludtke,Consumer,75.96,2,0,22.788,Central,Iowa
113,CA-2016-128867,13-02-2017,17-02-2017,Urbandale,United States,Office Supplies,Binders,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",CL-12565,Clay Ludtke,Consumer,27.24,6,0,13.3476,Central,Iowa
114,CA-2014-115259,09-08-2015,16-08-2015,Columbus,United States,Office Supplies,Fasteners,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",RC-19960,Ryan Crowe,Consumer,40.096,14,0.2,14.5348,East,Ohio
115,CA-2014-115259,20-11-2014,25-11-2014,Columbus,United States,Office Supplies,Envelopes,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",RC-19960,Ryan Crowe,Consumer,4.72,2,0.2,1.652,East,Ohio
116,CA-2014-115259,30-05-2014,01-06-2014,Columbus,United States,Office Supplies,Paper,OFF-PA-10004965,Xerox 1921,RC-19960,Ryan Crowe,Consumer,23.976,3,0.2,7.4925,East,Ohio
