Row ID,Order ID,Order Date,Ship Date,City,Country,Category,Sub-Category,Product ID,Product Name,Customer ID,Customer Name,Segment,Sales,Quantity,Discount,Profit
35,CA-2017-107727,10/19/2017,10/23/2017,Houston,United States,Office Supplies,Paper,OFF-PA-10000249,Easy-staple paper,MA-17560,Matt Abelman,Home Office,29.472,3,0.2,9.9468
36,CA-2016-117590,12-08-2016,12-10-2016,Richardson,United States,Technology,Phones,TEC-PH-10004977,GE 30524EE4,GH-14485,Gene Hale,Corporate,1097.544,7,0.2,123.4737
37,CA-2016-117590,12-08-2016,12-10-2016,Richardson,United States,Furniture,Furnishings,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",GH-14485,Gene Hale,Corporate,190.92,5,0.6,-147.963
38,CA-2015-117415,12/27/2015,12/31/2015,Houston,United States,Office Supplies,Envelopes,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",SN-20710,Steve Nguyen,Home Office,113.328,9,0.2,35.415
39,CA-2015-117415,12/27/2015,12/31/2015,Houston,United States,Furniture,Bookcases,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",SN-20710,Steve Nguyen,Home Office,532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,Houston,United States,Furniture,Chairs,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",SN-20710,Steve Nguyen,Home Office,212.058,3,0.3,-15.147
41,CA-2015-117415,12/27/2015,12/31/2015,Houston,United States,Technology,Phones,TEC-PH-10000486,Plantronics HL10 Handset Lifter,SN-20710,Steve Nguyen,Home Office,371.168,4,0.2,41.7564
42,CA-2017-120999,09-10-2017,9/15/2017,Naperville,United States,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,LC-16930,Linda Cazamias,Corporate,147.168,4,0.2,16.5564
43,CA-2016-101343,7/17/2016,7/22/2016,Los Angeles,United States,Office Supplies,Storage,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",RA-19885,Ruben Ausman,Corporate,77.88,2,0,3.894
44,CA-2017-139619,9/19/2017,9/23/2017,Melbourne,United States,Office Supplies,Storage,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",ES-14080,Erin Smith,Corporate,95.616,2,0.2,9.5616
45,CA-2016-118255,03-11-2016,3/13/2016,Eagan,United States,Technology,Accessories,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",ON-18715,Odella Nelson,Corporate,45.98,2,0,19.7714
46,CA-2016-118255,03-11-2016,3/13/2016,Eagan,United States,Office Supplies,Binders,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,ON-18715,Odella Nelson,Corporate,17.46,2,0,8.2062
47,CA-2014-146703,10/20/2014,10/25/2014,Westland,United States,Office Supplies,Storage,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",PO-18865,Patrick O'Donnell,Consumer,211.96,4,0,8.4784
48,CA-2016-169194,6/20/2016,6/25/2016,Dover,United States,Technology,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,LH-16900,Lena Hernandez,Consumer,45,3,0,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,Dover,United States,Technology,Phones,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",LH-16900,Lena Hernandez,Consumer,21.8,2,0,6.104
50,CA-2015-115742,4/18/2015,4/22/2015,New Albany,United States,Office Supplies,Binders,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",DP-13000,Darren Powers,Consumer,38.22,6,0,17.9634
51,CA-2015-115742,4/18/2015,4/22/2015,New Albany,United States,Office Supplies,Labels,OFF-LA-10002762,Avery 485,DP-13000,Darren Powers,Consumer,75.18,6,0,35.3346
52,CA-2015-115742,4/18/2015,4/22/2015,New Albany,United States,Furniture,Furnishings,FUR-FU-10001706,Longer-Life Soft White Bulbs,DP-13000,Darren Powers,Consumer,6.16,2,0,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,New Albany,United States,Furniture,Chairs,FUR-CH-10003061,"Global Leather Task Chair, Black",DP-13000,Darren Powers,Consumer,89.99,1,0,17.0981
54,CA-2016-105816,12-11-2016,12/17/2016,New York City,United States,Office Supplies,Fasteners,OFF-FA-10000304,Advantus Push Pins,JM-15265,Janet Molinari,Corporate,15.26,7,0,6.2566
55,CA-2016-105816,12-11-2016,12/17/2016,New York City,United States,Technology,Phones,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,JM-15265,Janet Molinari,Corporate,1029.95,5,0,298.6855
56,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Office Supplies,Storage,OFF-ST-10000604,Home/Office Personal File Carts,TB-21055,Ted Butterfield,Consumer,208.56,6,0,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Office Supplies,Paper,OFF-PA-10001569,Xerox 232,TB-21055,Ted Butterfield,Consumer,32.4,5,0,15.552
58,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Furniture,Chairs,FUR-CH-10003968,Novimex Turbo Task Chair,TB-21055,Ted Butterfield,Consumer,319.41,5,0.1,7.098
59,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Office Supplies,Paper,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",TB-21055,Ted Butterfield,Consumer,14.56,2,0,6.9888
60,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Technology,Accessories,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TB-21055,Ted Butterfield,Consumer,30,2,0,3.3
61,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Office Supplies,Binders,OFF-BI-10001460,Plastic Binding Combs,TB-21055,Ted Butterfield,Consumer,48.48,4,0.2,16.362
62,CA-2016-111682,6/17/2016,6/18/2016,Troy,United States,Office Supplies,Art,OFF-AR-10001868,Prang Dustless Chalk Sticks,TB-21055,Ted Butterfield,Consumer,1.68,1,0,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Los Angeles,United States,Technology,Accessories,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",KM-16720,Kunst Miller,Consumer,13.98,2,0,6.1512
64,CA-2015-135545,11/24/2015,11/30/2015,Los Angeles,United States,Office Supplies,Binders,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",KM-16720,Kunst Miller,Consumer,25.824,6,0.2,9.3612
65,CA-2015-135545,11/24/2015,11/30/2015,Los Angeles,United States,Office Supplies,Paper,OFF-PA-10003892,Xerox 1943,KM-16720,Kunst Miller,Consumer,146.73,3,0,68.9631
66,CA-2015-135545,11/24/2015,11/30/2015,Los Angeles,United States,Furniture,Furnishings,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,KM-16720,Kunst Miller,Consumer,79.76,4,0,22.3328
67,US-2015-164175,4/30/2015,05-05-2015,Chicago,United States,Furniture,Chairs,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",PS-18970,Paul Stevenson,Home Office,213.115,5,0.3,-15.2225
68,CA-2014-106376,12-05-2014,12-10-2014,Gilbert,United States,Office Supplies,Art,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",BS-11590,Brendan Sweed,Corporate,1113.024,8,0.2,111.3024
69,CA-2014-106376,12-05-2014,12-10-2014,Gilbert,United States,Technology,Phones,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,BS-11590,Brendan Sweed,Corporate,167.968,4,0.2,62.988
70,CA-2016-119823,06-04-2016,06-06-2016,Springfield,United States,Office Supplies,Paper,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",KD-16270,Karen Daniels,Consumer,75.88,2,0,35.6636
71,CA-2016-106075,9/18/2016,9/23/2016,New York City,United States,Office Supplies,Binders,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,HM-14980,Henry MacAllister,Consumer,4.616,1,0.2,1.731
72,CA-2017-114440,9/14/2017,9/17/2017,Jackson,United States,Office Supplies,Paper,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",TB-21520,Tracy Blumstein,Consumer,19.05,3,0,8.763
73,US-2015-134026,4/26/2015,05-02-2015,Memphis,United States,Furniture,Chairs,FUR-CH-10000513,High-Back Leather Manager's Chair,JE-15745,Joel Eaton,Consumer,831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,05-02-2015,Memphis,United States,Furniture,Furnishings,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",JE-15745,Joel Eaton,Consumer,97.04,2,0.2,1.213
75,US-2015-134026,4/26/2015,05-02-2015,Memphis,United States,Office Supplies,Storage,OFF-ST-10004123,Safco Industrial Wire Shelving System,JE-15745,Joel Eaton,Consumer,72.784,1,0.2,-18.196
76,US-2017-118038,12-09-2017,12-11-2017,Houston,United States,Office Supplies,Binders,OFF-BI-10004182,Economy Binders,KB-16600,Ken Brennan,Corporate,1.248,3,0.8,-1.9344
77,US-2017-118038,12-09-2017,12-11-2017,Houston,United States,Furniture,Furnishings,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",KB-16600,Ken Brennan,Corporate,9.708,3,0.6,-5.8248
78,US-2017-118038,12-09-2017,12-11-2017,Houston,United States,Office Supplies,Storage,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",KB-16600,Ken Brennan,Corporate,27.24,3,0.2,2.724
79,US-2014-147606,11/26/2014,12-01-2014,Houston,United States,Furniture,Furnishings,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",JE-15745,Joel Eaton,Consumer,19.3,5,0.6,-14.475
80,CA-2016-127208,06-12-2016,6/15/2016,Decatur,United States,Office Supplies,Appliances,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",SC-20770,Stewart Carmichael,Corporate,208.16,1,0,56.2032
81,CA-2016-127208,06-12-2016,6/15/2016,Decatur,United States,Office Supplies,Binders,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,SC-20770,Stewart Carmichael,Corporate,16.74,3,0,8.0352
82,CA-2014-139451,10-12-2014,10/16/2014,San Francisco,United States,Office Supplies,Art,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",DN-13690,Duane Noonan,Consumer,14.9,5,0,4.172
83,CA-2014-139451,10-12-2014,10/16/2014,San Francisco,United States,Office Supplies,Storage,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",DN-13690,Duane Noonan,Consumer,21.39,1,0,6.2031
84,CA-2015-149734,09-03-2015,09-08-2015,Durham,United States,Office Supplies,Envelopes,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,JC-16105,Julie Creighton,Corporate,200.984,7,0.2,62.8075
85,US-2017-119662,11/13/2017,11/16/2017,Chicago,United States,Office Supplies,Storage,OFF-ST-10003656,Safco Industrial Wire Shelving,CS-12400,Christopher Schild,Home Office,230.376,3,0.2,-48.9549
86,CA-2017-140088,5/28/2017,5/30/2017,Columbia,United States,Furniture,Chairs,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,PO-18865,Patrick O'Donnell,Consumer,301.96,2,0,33.2156
87,CA-2017-155558,10/26/2017,11-02-2017,Rochester,United States,Technology,Accessories,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,PG-18895,Paul Gonzalez,Consumer,19.99,1,0,6.7966
88,CA-2017-155558,10/26/2017,11-02-2017,Rochester,United States,Office Supplies,Labels,OFF-LA-10000134,Avery 511,PG-18895,Paul Gonzalez,Consumer,6.16,2,0,2.9568
89,CA-2016-159695,04-05-2016,04-10-2016,Houston,United States,Office Supplies,Storage,OFF-ST-10003442,Eldon Portable Mobile Manager,GM-14455,Gary Mitchum,Home Office,158.368,7,0.2,13.8572
90,CA-2016-109806,9/17/2016,9/22/2016,Los Angeles,United States,Office Supplies,Art,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,JS-15685,Jim Sink,Corporate,20.1,3,0,6.633
91,CA-2016-109806,9/17/2016,9/22/2016,Los Angeles,United States,Technology,Phones,TEC-PH-10004093,Panasonic Kx-TS550,JS-15685,Jim Sink,Corporate,73.584,2,0.2,8.2782
92,CA-2016-109806,9/17/2016,9/22/2016,Los Angeles,United States,Office Supplies,Paper,OFF-PA-10000304,Xerox 1995,JS-15685,Jim Sink,Corporate,6.48,1,0,3.1104
93,CA-2015-149587,1/31/2015,02-05-2015,Minneapolis,United States,Office Supplies,Paper,OFF-PA-10003177,Xerox 1999,KB-16315,Karl Braun,Consumer,12.96,2,0,6.2208
94,CA-2015-149587,1/31/2015,02-05-2015,Minneapolis,United States,Furniture,Furnishings,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",KB-16315,Karl Braun,Consumer,53.34,3,0,16.5354
95,CA-2015-149587,1/31/2015,02-05-2015,Minneapolis,United States,Office Supplies,Binders,OFF-BI-10002852,Ibico Standard Transparent Covers,KB-16315,Karl Braun,Consumer,32.96,2,0,16.1504
96,US-2017-109484,11-06-2017,11-12-2017,Portland,United States,Office Supplies,Binders,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,RB-19705,Roger Barcio,Home Office,5.682,1,0.7,-3.788
97,CA-2017-161018,11-09-2017,11-11-2017,New York City,United States,Furniture,Furnishings,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,PN-18775,Parhena Norris,Home Office,96.53,7,0,40.5426
98,CA-2017-157833,6/17/2017,6/20/2017,San Francisco,United States,Office Supplies,Binders,OFF-BI-10001721,Trimflex Flexible Post Binders,KD-16345,Katherine Ducich,Consumer,51.312,3,0.2,17.9592
99,CA-2016-149223,09-06-2016,09-11-2016,Saint Paul,United States,Office Supplies,Appliances,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,ER-13855,Elpida Rittenbach,Corporate,77.88,6,0,22.5852
100,CA-2016-158568,8/29/2016,09-02-2016,Chicago,United States,Office Supplies,Paper,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,RB-19465,Rick Bensley,Home Office,64.624,7,0.2,22.6184
101,CA-2016-158568,8/29/2016,09-02-2016,Chicago,United States,Technology,Accessories,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,RB-19465,Rick Bensley,Home Office,95.976,3,0.2,-10.7973
102,CA-2016-158568,8/29/2016,09-02-2016,Chicago,United States,Office Supplies,Binders,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,RB-19465,Rick Bensley,Home Office,1.788,3,0.8,-3.0396
103,CA-2016-129903,12-01-2016,12-04-2016,Rochester,United States,Office Supplies,Paper,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),GZ-14470,Gary Zandusky,Consumer,23.92,4,0,11.7208
104,US-2015-156867,11/13/2015,11/17/2015,Aurora,United States,Technology,Accessories,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,LC-16870,Lena Cacioppo,Consumer,238.896,6,0.2,-26.8758
105,US-2015-156867,11/13/2015,11/17/2015,Aurora,United States,Furniture,Furnishings,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",LC-16870,Lena Cacioppo,Consumer,102.36,3,0.2,-3.8385
106,US-2015-156867,11/13/2015,11/17/2015,Aurora,United States,Office Supplies,Binders,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",LC-16870,Lena Cacioppo,Consumer,36.882,3,0.7,-25.8174
107,CA-2017-119004,11/23/2017,11/28/2017,Charlotte,United States,Technology,Accessories,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,JM-15250,Janet Martin,Consumer,74.112,8,0.2,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,Charlotte,United States,Technology,Phones,TEC-PH-10002844,Speck Products Candyshell Flip Case,JM-15250,Janet Martin,Consumer,27.992,1,0.2,2.0994
109,CA-2017-119004,11/23/2017,11/28/2017,Charlotte,United States,Office Supplies,Art,OFF-AR-10000390,Newell Chalk Holder,JM-15250,Janet Martin,Consumer,3.304,1,0.2,1.0738
110,CA-2015-129476,10/15/2015,10/20/2015,Orland Park,United States,Technology,Accessories,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,PA-19060,Pete Armstrong,Home Office,339.96,5,0.2,67.992
111,CA-2017-146780,12/25/2017,12/30/2017,New York City,United States,Furniture,Furnishings,FUR-FU-10001934,Magnifier Swing Arm Lamp,CV-12805,Cynthia Voltz,Corporate,41.96,2,0,10.9096
112,CA-2016-128867,11-03-2016,11-10-2016,Urbandale,United States,Office Supplies,Art,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",CL-12565,Clay Ludtke,Consumer,75.96,2,0,22.788
113,CA-2016-128867,11-03-2016,11-10-2016,Urbandale,United States,Office Supplies,Binders,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",CL-12565,Clay Ludtke,Consumer,27.24,6,0,13.3476
114,CA-2014-115259,8/25/2014,8/27/2014,Columbus,United States,Office Supplies,Fasteners,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",RC-19960,Ryan Crowe,Consumer,40.096,14,0.2,14.5348
115,CA-2014-115259,8/25/2014,8/27/2014,Columbus,United States,Office Supplies,Envelopes,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",RC-19960,Ryan Crowe,Consumer,4.72,2,0.2,1.652
116,CA-2014-115259,8/25/2014,8/27/2014,Columbus,United States,Office Supplies,Paper,OFF-PA-10004965,Xerox 1921,RC-19960,Ryan Crowe,Consumer,23.976,3,0.2,7.4925
117,CA-2014-115259,8/25/2014,8/27/2014,Columbus,United States,Office Supplies,Envelopes,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",RC-19960,Ryan Crowe,Consumer,130.464,6,0.2,44.0316
118,CA-2015-110457,03-02-2015,03-06-2015,Seattle,United States,Furniture,Tables,FUR-TA-10001768,Hon Racetrack Conference Tables,DK-13090,Dave Kipp,Consumer,787.53,3,0,165.3813
119,US-2015-136476,04-05-2015,04-10-2015,Bristol,United States,Office Supplies,Binders,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,GG-14650,Greg Guthrie,Corporate,157.794,1,0.7,-115.7156
120,CA-2016-103730,06-12-2016,6/15/2016,Wilmington,United States,Furniture,Furnishings,FUR-FU-10002157,Artistic Insta-Plaque,SC-20725,Steven Cartwright,Consumer,47.04,3,0,18.3456
121,CA-2016-103730,06-12-2016,6/15/2016,Wilmington,United States,Office Supplies,Binders,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,SC-20725,Steven Cartwright,Consumer,30.84,4,0,13.878
122,CA-2016-103730,06-12-2016,6/15/2016,Wilmington,United States,Office Supplies,Storage,OFF-ST-10000777,"Companion Letter/Legal File, Black",SC-20725,Steven Cartwright,Consumer,226.56,6,0,63.4368
123,CA-2016-103730,06-12-2016,6/15/2016,Wilmington,United States,Office Supplies,Envelopes,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,SC-20725,Steven Cartwright,Consumer,115.02,9,0,51.759
